"Julianday","pH.A","Temp.A","Sal.A","Ox.A","pH.B","Temp.B","Sal.B","Ox.B","Temp.AF","Temp.BF"
117.585416666667,7.98,16.1,37.5,8.89,8.25,16.1,37.7,0,16.5,18.6
117.588888888889,7.98,16.1,37.5,8.9,8.25,16,37.8,0,16.5,18.4
117.592361111111,7.98,16.1,37.5,8.9,8.24,16,37.7,0,16.3,18.4
117.595833333333,7.98,16,37.6,8.92,8.25,16,37.7,0,16.3,18.4
117.599305555556,7.98,16,37.5,8.93,8.25,16,37.8,0,16.3,18.4
117.602777777778,7.98,16,37.5,8.94,8.25,16,37.7,0,16.3,18.4
117.60625,7.98,16,37.5,8.94,8.25,16,37.7,0,16.3,18.4
117.609722222222,7.98,16,37.5,8.95,8.25,16,37.7,0,16.3,18.4
117.613194444444,7.98,15.9,37.6,8.94,8.25,15.9,37.7,0,16.3,18.3
117.616666666667,7.98,15.9,37.6,8.95,8.25,15.9,37.7,0,16.3,18.3
117.620138888889,7.98,15.9,37.6,8.97,8.25,15.9,37.7,0,16.3,18.3
117.623611111111,7.98,15.9,37.5,8.98,8.25,15.9,37.8,0,16.3,18.3
117.627083333333,7.98,15.9,37.5,8.99,8.25,15.9,37.8,0,16.3,18.3
117.630555555556,7.98,15.8,37.6,8.98,8.25,15.9,37.7,0,16.1,18.3
117.634027777778,7.98,15.8,37.6,8.99,8.25,15.9,37.7,0,16.1,18.3
117.6375,7.98,15.8,37.6,8.99,8.25,15.8,37.7,0,16.1,18.3
117.640972222222,7.98,15.8,37.5,9.01,8.25,15.8,37.8,0,16.1,18.1
117.644444444444,7.98,15.7,37.6,9.03,8.25,15.8,37.7,0,16.1,18.1
117.647916666667,7.98,15.7,37.6,9.03,8.25,15.8,37.7,0,16.1,18.1
117.651388888889,7.98,15.7,37.6,9.03,8.25,15.8,37.8,0,16.1,18.1
117.654861111111,7.98,15.7,37.6,9.06,8.25,15.8,37.8,0,16.1,18.1
117.658333333333,7.98,15.7,37.6,9.07,8.25,15.8,37.8,0,16.1,18.1
117.661805555556,7.98,15.6,37.6,9.11,8.25,15.8,37.8,0,16.1,18.1
117.665277777778,7.98,15.6,37.6,9.14,8.25,15.7,37.8,0,16.1,18.1
117.66875,7.98,15.6,37.6,9.15,8.25,15.7,37.7,0,16.1,18.1
117.672222222222,7.98,15.5,37.6,9.16,8.25,15.7,37.7,0,16.1,17.9
117.675694444444,7.98,15.5,37.6,9.16,8.26,15.7,37.7,0,15.9,17.9
117.679166666667,7.98,15.5,37.6,9.16,8.25,15.7,37.7,0,15.9,17.9
117.682638888889,7.98,15.5,37.6,9.16,8.25,15.6,37.8,0,15.9,17.9
117.686111111111,7.98,15.4,37.6,9.18,8.25,15.7,37.8,0,15.9,17.9
117.689583333333,7.98,15.4,37.6,9.19,8.25,15.6,37.7,0,15.9,17.9
117.693055555556,7.97,16.4,37.5,8.93,8.25,15.4,37.8,0,15.9,17.9
117.696527777778,7.96,16.6,37.4,8.96,8.26,15.3,37.9,0,15.9,17.9
117.7,7.97,16.9,37.3,8.9,8.25,15.3,37.8,0,15.9,17.9
117.703472222222,7.96,17.5,37.2,8.76,8.25,15.2,37.8,0,15.9,18.1
117.706944444444,7.95,17.7,37.2,8.78,8.26,15.1,37.8,0,15.7,18.1
117.710416666667,7.96,17.8,37.2,8.76,8.26,15.1,37.9,0,15.7,18.1
117.713888888889,7.95,17.8,37.2,8.74,8.25,16.4,37.7,0,15.7,18.3
117.717361111111,7.96,17.9,37.2,8.73,8.24,16.5,37.6,0,15.7,18.3
117.720833333333,7.95,17.9,37.2,8.71,8.24,16.6,37.7,0,15.9,18.3
117.724305555556,7.96,18,37.2,8.71,8.25,16.6,37.6,0,15.9,18.4
117.727777777778,7.96,18.1,37.2,8.71,8.25,16.6,37.7,0,15.9,18.4
117.73125,7.96,18.1,37.1,8.7,8.24,16.6,37.7,0,15.9,18.4
117.734722222222,7.96,18.2,37.2,8.68,8.25,17.1,37.6,0,15.9,18.6
117.738194444444,7.96,18.2,37.1,8.66,8.24,17.5,37.5,0,16.1,18.6
117.741666666667,7.96,18.3,37.2,8.65,8.23,17.6,37.5,0,16.1,18.6
117.745138888889,7.96,18.3,37.1,8.64,8.24,17.7,37.6,0,16.1,18.8
117.748611111111,7.96,18.4,37.1,8.61,8.23,17.7,37.5,0,16.3,18.8
117.752083333333,7.95,18.4,37.1,8.59,8.24,17.8,37.6,0,16.3,18.8
117.755555555556,7.96,18.5,37.1,8.56,8.23,17.9,37.5,0,16.3,18.8
117.759027777778,7.96,18.6,37.1,8.56,8.23,17.9,37.5,0,16.5,19
117.7625,7.95,18.6,37.1,8.54,8.23,18,37.5,0,16.5,19
117.765972222222,7.95,18.7,37.1,8.52,8.24,18.1,37.4,0,16.5,19
117.769444444444,7.95,18.7,37.1,8.51,8.23,18.1,37.5,0,16.7,19.2
117.772916666667,7.95,18.8,37.1,8.49,8.23,18.2,37.5,0,16.7,19.2
117.776388888889,7.95,18.8,37.1,8.46,8.23,18.3,37.5,0,16.7,19.2
117.779861111111,7.95,18.9,37,8.45,8.23,18.3,37.4,0,16.9,19.4
117.783333333333,7.95,18.9,37.1,8.44,8.22,18.3,37.5,0,16.9,19.4
117.786805555556,7.95,19,37,8.43,8.23,18.4,37.5,0,16.9,19.4
117.790277777778,7.95,19,37.1,8.45,8.23,18.5,37.5,0,17.1,19.4
117.79375,7.96,19.1,37,8.43,8.23,17.7,37.5,0,17.1,19.6
117.797222222222,7.96,18.6,37.2,8.54,8.24,17.7,37.6,0,17.1,19.6
117.800694444444,7.96,18.2,37.2,8.56,8.24,17.7,37.6,0,17.1,19.6
117.804166666667,7.96,18.2,37.2,8.53,8.24,17.7,37.5,0,17.1,19.6
117.807638888889,7.96,18.2,37.2,8.53,8.24,17.7,37.5,0,17.1,19.6
117.811111111111,7.96,18.2,37.2,8.52,8.24,17.7,37.5,0,17.1,19.6
117.814583333333,7.96,18.3,37.2,8.51,8.24,17.7,37.5,0,17.1,19.6
117.818055555556,7.96,18.3,37.2,8.49,8.24,17.8,37.5,0,17.1,19.6
117.821527777778,7.96,18.3,37.2,8.49,8.23,17.8,37.5,0,17.3,19.6
117.825,7.96,18.3,37.2,8.48,8.24,17.8,37.6,0,17.3,19.6
117.828472222222,7.96,18.3,37.1,8.47,8.24,17.8,37.6,0,17.3,19.6
117.831944444444,7.96,18.3,37.2,8.46,8.24,17.8,37.6,0,17.3,19.6
117.835416666667,7.96,18.3,37.1,8.44,8.24,17.9,37.5,0,17.3,19.6
117.838888888889,7.96,18.3,37.1,8.42,8.24,17.9,37.5,0,17.3,19.6
117.842361111111,7.96,18.3,37.1,8.42,8.24,17.9,37.5,0,17.3,19.6
117.845833333333,7.96,18.3,37.1,8.41,8.24,17.9,37.6,0,17.3,19.6
117.849305555556,7.96,18.3,37.1,8.41,8.24,17.9,37.5,0,17.3,19.6
117.852777777778,7.95,18.3,37.2,8.41,8.24,17.9,37.6,0,17.3,19.8
117.85625,7.96,18.3,37.2,8.41,8.24,17.9,37.6,0,17.5,19.6
117.859722222222,7.96,18.3,37.2,8.4,8.24,18,37.5,0,17.5,19.8
117.863194444444,7.95,18.4,37.2,8.4,8.23,18,37.5,0,17.5,19.6
117.866666666667,7.96,18.3,37.2,8.4,8.24,18,37.5,0,17.5,19.8
117.870138888889,7.96,18.4,37.2,8.4,8.23,18,37.5,0,17.5,19.8
117.873611111111,7.96,18.4,37.2,8.41,8.24,18,37.5,0,17.5,19.8
117.877083333333,7.96,18.4,37.2,8.4,8.24,18,37.5,0,17.5,19.8
117.880555555556,7.96,18.4,37.2,8.39,8.25,18,37.5,0,17.5,19.8
117.884027777778,7.96,18.4,37.1,8.38,8.24,18,37.5,0,17.5,19.8
117.8875,7.96,18.4,37.1,8.39,8.24,18.1,37.4,0,17.5,19.8
117.890972222222,7.96,18.4,37.1,8.39,8.25,18.1,37.6,0,17.5,19.8
117.894444444444,7.96,18.4,37.1,8.41,8.25,18.1,37.5,0,17.5,19.8
117.897916666667,7.96,18.4,37.1,8.41,8.24,18.1,37.4,0,17.7,19.8
117.901388888889,7.96,18.4,37.1,8.4,8.24,18.1,37.5,0,17.7,19.8
117.904861111111,7.96,18.4,37.1,8.4,8.25,18.2,37.5,0,17.7,19.8
117.908333333333,7.96,18.4,37.1,8.4,8.24,18.2,37.5,0,17.7,19.8
117.911805555556,7.96,18.4,37.1,8.4,8.25,18.2,37.6,0,17.7,19.8
